2025-07-05 23:51:24,765 | INFO | crawler.sources.baradwajrangan_links | Page 67 attempt 1 length=214499
2025-07-05 23:51:24,788 | INFO | crawler.sources.baradwajrangan_links | Fetching https://baradwajrangan.wordpress.com/page/68/
2025-07-05 23:51:24,805 | INFO | crawler.sources.baradwajrangan_links | Page 68 attempt 1 length=216299
2025-07-05 23:51:24,828 | INFO | crawler.sources.baradwajrangan_links | Fetching https://baradwajrangan.wordpress.com/page/69/
2025-07-05 23:51:24,846 | INFO | crawler.sources.baradwajrangan_links | Page 69 attempt 1 length=214778
2025-07-05 23:51:24,869 | INFO | crawler.sources.baradwajrangan_links | Fetching https://baradwajrangan.wordpress.com/page/70/
2025-07-05 23:51:24,889 | INFO | crawler.sources.baradwajrangan_links | Page 70 attempt 1 length=212334
2025-07-05 23:51:24,910 | INFO | crawler.sources.baradwajrangan_links | Fetching https://baradwajrangan.wordpress.com/page/71/
2025-07-05 23:51:24,930 | INFO | crawler.sources.baradwajrangan_links | Page 71 attempt 1 length=210886
2025-07-05 23:51:24,952 | INFO | crawler.sources.baradwajrangan_links | Fetching https://baradwajrangan.wordpress.com/page/72/
2025-07-05 23:51:24,970 | INFO | crawler.sources.baradwajrangan_links | Page 72 attempt 1 length=211082
2025-07-05 23:51:24,993 | INFO | crawler.sources.baradwajrangan_links | Fetching https://baradwajrangan.wordpress.com/page/73/
2025-07-05 23:51:25,011 | INFO | crawler.sources.baradwajrangan_links | Page 73 attempt 1 length=211706
2025-07-05 23:51:25,031 | INFO | crawler.sources.baradwajrangan_links | Fetching https://baradwajrangan.wordpress.com/page/74/
2025-07-05 23:51:25,051 | INFO | crawler.sources.baradwajrangan_links | Page 74 attempt 1 length=209802
2025-07-05 23:51:25,074 | INFO | crawler.sources.baradwajrangan_links | Fetching https://baradwajrangan.wordpress.com/page/75/
2025-07-05 23:51:25,094 | INFO | crawler.sources.baradwajrangan_links | Page 75 attempt 1 length=210031
2025-07-05 23:51:25,114 | INFO | crawler.sources.baradwajrangan_links | Fetching https://baradwajrangan.wordpress.com/page/76/
2025-07-05 23:51:25,137 | INFO | crawler.sources.baradwajrangan_links | Page 76 attempt 1 length=207415
2025-07-05 23:51:25,160 | INFO | crawler.sources.baradwajrangan_links | Fetching https://baradwajrangan.wordpress.com/page/77/
2025-07-05 23:51:25,183 | INFO | crawler.sources.baradwajrangan_links | Page 77 attempt 1 length=210197
2025-07-05 23:51:25,204 | INFO | crawler.sources.baradwajrangan_links | Fetching https://baradwajrangan.wordpress.com/page/78/
2025-07-05 23:51:25,230 | INFO | crawler.sources.baradwajrangan_links | Page 78 attempt 1 length=208932
2025-07-05 23:51:25,252 | INFO | crawler.sources.baradwajrangan_links | Fetching https://baradwajrangan.wordpress.com/page/79/
2025-07-05 23:51:25,270 | INFO | crawler.sources.baradwajrangan_links | Page 79 attempt 1 length=209147
2025-07-05 23:51:25,294 | INFO | crawler.sources.baradwajrangan_links | Fetching https://baradwajrangan.wordpress.com/page/80/
2025-07-05 23:51:25,316 | INFO | crawler.sources.baradwajrangan_links | Page 80 attempt 1 length=210510
