2025-06-26 09:48:32,137 | INFO | __main__ | No movie title found for review f5806f60-108f-4174-bbe9-c52cb4d4d52f
2025-06-26 09:48:32,460 | INFO | httpx | HTTP Request: POST https://api.openai.com/v1/chat/completions "HTTP/1.1 200 OK"
2025-06-26 09:48:32,471 | INFO | __main__ | No movie title found for review 66965be0-202f-411f-b995-05f066d59c65
2025-06-26 09:48:32,896 | INFO | httpx | HTTP Request: POST https://api.openai.com/v1/chat/completions "HTTP/1.1 200 OK"
2025-06-26 09:48:32,899 | INFO | __main__ | No movie title found for review 14f4175a-d0ed-4592-8222-1d387baf699d
2025-06-26 09:48:33,409 | INFO | httpx | HTTP Request: POST https://api.openai.com/v1/chat/completions "HTTP/1.1 200 OK"
2025-06-26 09:48:33,412 | INFO | __main__ | No movie title found for review 22075a45-33b6-476a-81ff-df8cd0b59f02
2025-06-26 09:48:33,925 | INFO | httpx | HTTP Request: POST https://api.openai.com/v1/chat/completions "HTTP/1.1 200 OK"
2025-06-26 09:48:33,928 | INFO | __main__ | No movie title found for review cafe543a-d2fd-499d-8261-26063171ff79
2025-06-26 09:48:34,231 | INFO | httpx | HTTP Request: POST https://api.openai.com/v1/chat/completions "HTTP/1.1 200 OK"
2025-06-26 09:48:34,254 | INFO | __main__ | No movie title found for review d03c412f-9ab7-4e2e-bdc0-83b744ce65c4
2025-06-26 09:48:34,846 | INFO | httpx | HTTP Request: POST https://api.openai.com/v1/chat/completions "HTTP/1.1 200 OK"
2025-06-26 09:48:34,849 | INFO | __main__ | No movie title found for review dc6fd99e-25bd-4884-bfc6-942592b552af
2025-06-26 09:48:35,291 | INFO | httpx | HTTP Request: POST https://api.openai.com/v1/chat/completions "HTTP/1.1 200 OK"
2025-06-26 09:48:35,294 | INFO | __main__ | No movie title found for review 2cd499a1-0d6d-444e-8d92-4f474b2c94ff
2025-06-26 09:48:35,666 | INFO | httpx | HTTP Request: POST https://api.openai.com/v1/chat/completions "HTTP/1.1 200 OK"
2025-06-26 09:48:35,669 | INFO | __main__ | No movie title found for review b8156466-1afa-4004-a135-7f03601ccc7e
2025-06-26 09:48:36,581 | INFO | httpx | HTTP Request: POST https://api.openai.com/v1/chat/completions "HTTP/1.1 200 OK"
2025-06-26 09:48:36,583 | INFO | __main__ | No movie title found for review 27924dd2-d1bd-45d0-9e9b-ecad7f653e3b
2025-06-26 09:48:37,048 | INFO | httpx | HTTP Request: POST https://api.openai.com/v1/chat/completions "HTTP/1.1 200 OK"
2025-06-26 09:48:37,055 | INFO | __main__ | No movie title found for review 3120f158-6c67-43d9-b39a-6857bf98fade
2025-06-26 09:48:37,507 | INFO | httpx | HTTP Request: POST https://api.openai.com/v1/chat/completions "HTTP/1.1 200 OK"
2025-06-26 09:48:37,510 | INFO | __main__ | No movie title found for review 879620f6-e2ab-4329-828d-3652df86f2e4
2025-06-26 09:48:38,220 | INFO | httpx | HTTP Request: POST https://api.openai.com/v1/chat/completions "HTTP/1.1 200 OK"
2025-06-26 09:48:38,222 | INFO | __main__ | No movie title found for review d1a6956e-3a3c-4046-a146-7912b3715bed
2025-06-26 09:48:39,174 | INFO | httpx | HTTP Request: POST https://api.openai.com/v1/chat/completions "HTTP/1.1 200 OK"
2025-06-26 09:48:39,180 | INFO | __main__ | No movie title found for review 59258966-f552-46bc-880f-2b9fe968e1a6
2025-06-26 09:48:39,465 | INFO | httpx | HTTP Request: POST https://api.openai.com/v1/chat/completions "HTTP/1.1 200 OK"
2025-06-26 09:48:39,468 | INFO | __main__ | No movie title found for review 920a28ac-72df-4e8d-8fcb-39b1d667fafc
2025-06-26 09:48:39,964 | INFO | httpx | HTTP Request: POST https://api.openai.com/v1/chat/completions "HTTP/1.1 200 OK"
2025-06-26 09:48:39,966 | INFO | __main__ | No movie title found for review 89931392-4660-4ecc-8bc5-45f06529e6ba
2025-06-26 09:48:40,331 | INFO | httpx | HTTP Request: POST https://api.openai.com/v1/chat/completions "HTTP/1.1 200 OK"
2025-06-26 09:48:40,341 | INFO | __main__ | No movie title found for review e3980734-20cb-4f5e-9d64-4fcdf414dac8
2025-06-26 09:48:40,663 | INFO | httpx | HTTP Request: POST https://api.openai.com/v1/chat/completions "HTTP/1.1 200 OK"
2025-06-26 09:48:40,665 | INFO | __main__ | No movie title found for review 925bde52-666a-474e-acbd-4014d28168b9
2025-06-26 09:48:41,397 | INFO | httpx | HTTP Request: POST https://api.openai.com/v1/chat/completions "HTTP/1.1 200 OK"
2025-06-26 09:48:41,400 | INFO | __main__ | No movie title found for review c2d1e4d0-3d4f-4472-b118-060ff919e66f
2025-06-26 09:48:41,814 | INFO | httpx | HTTP Request: POST https://api.openai.com/v1/chat/completions "HTTP/1.1 200 OK"
2025-06-26 09:48:41,817 | INFO | __main__ | No movie title found for review fe93aae0-78b1-43c6-b1b0-f68e2eec1854
2025-06-26 09:48:42,930 | INFO | httpx | HTTP Request: POST https://api.openai.com/v1/chat/completions "HTTP/1.1 200 OK"
2025-06-26 09:48:42,933 | INFO | __main__ | No movie title found for review 77b0445c-9c91-41af-bde0-a8446430f774
